,Attempt,Runtime,Precision,Recall,Line,Constraint,Readable_Constraint
0,1,0.315,-1,-1,1,,Avicenna requires at least one failure-inducing input!
1,2,0.339,-1,-1,1,,Avicenna requires at least one failure-inducing input!
2,3,0.242,-1,-1,1,,Avicenna requires at least one failure-inducing input!
3,4,0.338,-1,-1,1,,Avicenna requires at least one failure-inducing input!
4,5,0.242,-1,-1,1,,Avicenna requires at least one failure-inducing input!
5,6,0.331,-1,-1,1,,Avicenna requires at least one failure-inducing input!
6,7,0.24,-1,-1,1,,Avicenna requires at least one failure-inducing input!
7,8,0.234,-1,-1,1,,Avicenna requires at least one failure-inducing input!
8,9,0.344,-1,-1,1,,Avicenna requires at least one failure-inducing input!
9,10,0.238,-1,-1,1,,Avicenna requires at least one failure-inducing input!
