,Runtime,Precision,Recall,Constraint
0,506.29,0.72,1.0,"ExistsFormula(BoundVariable(""elem_xy"", ""<chars>""), Constant(""start"", ""<start>""), PredicateFormula((""StructuralPredicate(name='inside', arity=2, eval_fun=<function in_tree at 0x7f68810809d0>)"", 'BoundVariable(""elem_xy"", ""<chars>""), Constant(""start"", ""<start>"")')))"
1,260.67,-1.0,-1.0,No constraint has been found for min_precision 0.6 and min_recall 0.9.
