,Runtime,Precision,Recall,Constraint
0,679.92,-1.0,-1.0,No constraint has been found for min_precision 0.6 and min_recall 0.9.
1,263.988,-1.0,-1.0,No constraint has been found for min_precision 0.6 and min_recall 0.9.
2,351.117,-1.0,-1.0,No constraint has been found for min_precision 0.6 and min_recall 0.9.
3,199.247,-1.0,-1.0,No constraint has been found for min_precision 0.6 and min_recall 0.9.
4,505.167,0.62,1.0,"∃ elem_xy ∈ start: (inside(elem_xy, start))"
5,629.753,-1.0,-1.0,No constraint has been found for min_precision 0.6 and min_recall 0.9.
6,262.086,0.65,1.0,"∃ elem_xy ∈ start: (inside(elem_xy, start))"
7,250.468,-1.0,-1.0,No constraint has been found for min_precision 0.6 and min_recall 0.9.
8,585.114,-1.0,-1.0,No constraint has been found for min_precision 0.6 and min_recall 0.9.
9,575.01,-1.0,-1.0,No constraint has been found for min_precision 0.6 and min_recall 0.9.
