,Attempt,Runtime,Precision,Recall,Line,Constraint,Readable_Constraint
0,1,325.16,1.0,1.0,107,"exists <plus> elem_xy in start:
  inside(elem_xy, start)","ExistsFormula(BoundVariable(""elem_xy"", ""<plus>""), Constant(""start"", ""<start>""), PredicateFormula((""StructuralPredicate(name='inside', arity=2, eval_fun=<function in_tree at 0x7efc696770a0>)"", 'BoundVariable(""elem_xy"", ""<plus>""), Constant(""start"", ""<start>"")')))"
1,2,326.13,1.0,1.0,107,"exists <plus> elem_xy in start:
  inside(elem_xy, start)","ExistsFormula(BoundVariable(""elem_xy"", ""<plus>""), Constant(""start"", ""<start>""), PredicateFormula((""StructuralPredicate(name='inside', arity=2, eval_fun=<function in_tree at 0x7efc696770a0>)"", 'BoundVariable(""elem_xy"", ""<plus>""), Constant(""start"", ""<start>"")')))"
2,3,166.062,1.0,1.0,107,"exists <plus> elem_xy in start:
  inside(elem_xy, start)","ExistsFormula(BoundVariable(""elem_xy"", ""<plus>""), Constant(""start"", ""<start>""), PredicateFormula((""StructuralPredicate(name='inside', arity=2, eval_fun=<function in_tree at 0x7efc696770a0>)"", 'BoundVariable(""elem_xy"", ""<plus>""), Constant(""start"", ""<start>"")')))"
3,4,188.183,1.0,1.0,107,"exists <plus> elem_xy in start:
  inside(elem_xy, start)","ExistsFormula(BoundVariable(""elem_xy"", ""<plus>""), Constant(""start"", ""<start>""), PredicateFormula((""StructuralPredicate(name='inside', arity=2, eval_fun=<function in_tree at 0x7efc696770a0>)"", 'BoundVariable(""elem_xy"", ""<plus>""), Constant(""start"", ""<start>"")')))"
4,5,247.164,1.0,1.0,107,"exists <plus> elem_xy in start:
  inside(elem_xy, start)","ExistsFormula(BoundVariable(""elem_xy"", ""<plus>""), Constant(""start"", ""<start>""), PredicateFormula((""StructuralPredicate(name='inside', arity=2, eval_fun=<function in_tree at 0x7efc696770a0>)"", 'BoundVariable(""elem_xy"", ""<plus>""), Constant(""start"", ""<start>"")')))"
5,6,198.31,1.0,1.0,107,"exists <plus> elem_xy in start:
  inside(elem_xy, start)","ExistsFormula(BoundVariable(""elem_xy"", ""<plus>""), Constant(""start"", ""<start>""), PredicateFormula((""StructuralPredicate(name='inside', arity=2, eval_fun=<function in_tree at 0x7efc696770a0>)"", 'BoundVariable(""elem_xy"", ""<plus>""), Constant(""start"", ""<start>"")')))"
6,7,128.262,1.0,1.0,107,"exists <plus> elem in start:
  (= elem "" + "")","ExistsFormula(BoundVariable(""elem"", ""<plus>""), Constant(""start"", ""<start>""), SMTFormula('(= elem "" + "")', BoundVariable(""elem"", ""<plus>""), ))"
7,8,386.81,1.0,1.0,107,"exists <plus> elem_xy in start:
  inside(elem_xy, start)","ExistsFormula(BoundVariable(""elem_xy"", ""<plus>""), Constant(""start"", ""<start>""), PredicateFormula((""StructuralPredicate(name='inside', arity=2, eval_fun=<function in_tree at 0x7efc696770a0>)"", 'BoundVariable(""elem_xy"", ""<plus>""), Constant(""start"", ""<start>"")')))"
8,9,208.974,1.0,1.0,107,"exists <plus> elem_xy in start:
  inside(elem_xy, start)","ExistsFormula(BoundVariable(""elem_xy"", ""<plus>""), Constant(""start"", ""<start>""), PredicateFormula((""StructuralPredicate(name='inside', arity=2, eval_fun=<function in_tree at 0x7efc696770a0>)"", 'BoundVariable(""elem_xy"", ""<plus>""), Constant(""start"", ""<start>"")')))"
9,10,476.882,1.0,1.0,107,"exists <plus> elem in start:
  (= elem "" + "")","ExistsFormula(BoundVariable(""elem"", ""<plus>""), Constant(""start"", ""<start>""), SMTFormula('(= elem "" + "")', BoundVariable(""elem"", ""<plus>""), ))"
