,Runtime,Precision,Recall,Constraint
0,48.41,0.9473684210526316,1.0,"∃ elem_xy ∈ start: (inside(elem_xy, start))"
1,18.91,0.9,1.0,"∃ elem_xy ∈ start: (inside(elem_xy, start))"
