,Attempt,Runtime,Precision,Recall,Line,Constraint,Readable_Constraint
0,1,22.902,1.0,1.0,20,"forall <arith_expr> container in start:
  exists <function> elem in container:
    (= elem ""tan"")","ForallFormula(BoundVariable(""container"", ""<arith_expr>""), Constant(""start"", ""<start>""), ExistsFormula(BoundVariable(""elem"", ""<function>""), BoundVariable(""container"", ""<arith_expr>""), SMTFormula('(= elem ""tan"")', BoundVariable(""elem"", ""<function>""), )))"
1,2,28.494,1.0,1.0,20,"forall <arith_expr> container in start:
  exists <function> elem in container:
    (= elem ""tan"")","ForallFormula(BoundVariable(""container"", ""<arith_expr>""), Constant(""start"", ""<start>""), ExistsFormula(BoundVariable(""elem"", ""<function>""), BoundVariable(""container"", ""<arith_expr>""), SMTFormula('(= elem ""tan"")', BoundVariable(""elem"", ""<function>""), )))"
2,3,29.933,1.0,1.0,20,"forall <arith_expr> container in start:
  exists <function> elem in container:
    (= elem ""tan"")","ForallFormula(BoundVariable(""container"", ""<arith_expr>""), Constant(""start"", ""<start>""), ExistsFormula(BoundVariable(""elem"", ""<function>""), BoundVariable(""container"", ""<arith_expr>""), SMTFormula('(= elem ""tan"")', BoundVariable(""elem"", ""<function>""), )))"
3,4,16.975,1.0,1.0,20,"forall <arith_expr> container in start:
  exists <function> elem in container:
    (= elem ""tan"")","ForallFormula(BoundVariable(""container"", ""<arith_expr>""), Constant(""start"", ""<start>""), ExistsFormula(BoundVariable(""elem"", ""<function>""), BoundVariable(""container"", ""<arith_expr>""), SMTFormula('(= elem ""tan"")', BoundVariable(""elem"", ""<function>""), )))"
4,5,26.618,1.0,1.0,20,"forall <arith_expr> container in start:
  exists <function> elem in container:
    (= elem ""tan"")","ForallFormula(BoundVariable(""container"", ""<arith_expr>""), Constant(""start"", ""<start>""), ExistsFormula(BoundVariable(""elem"", ""<function>""), BoundVariable(""container"", ""<arith_expr>""), SMTFormula('(= elem ""tan"")', BoundVariable(""elem"", ""<function>""), )))"
5,6,19.252,1.0,1.0,20,"forall <arith_expr> container in start:
  exists <function> elem in container:
    (= elem ""tan"")","ForallFormula(BoundVariable(""container"", ""<arith_expr>""), Constant(""start"", ""<start>""), ExistsFormula(BoundVariable(""elem"", ""<function>""), BoundVariable(""container"", ""<arith_expr>""), SMTFormula('(= elem ""tan"")', BoundVariable(""elem"", ""<function>""), )))"
6,7,32.102,1.0,1.0,20,"forall <arith_expr> container in start:
  exists <function> elem in container:
    (= elem ""tan"")","ForallFormula(BoundVariable(""container"", ""<arith_expr>""), Constant(""start"", ""<start>""), ExistsFormula(BoundVariable(""elem"", ""<function>""), BoundVariable(""container"", ""<arith_expr>""), SMTFormula('(= elem ""tan"")', BoundVariable(""elem"", ""<function>""), )))"
7,8,35.007,1.0,1.0,20,"forall <arith_expr> container in start:
  exists <function> elem in container:
    (= elem ""tan"")","ForallFormula(BoundVariable(""container"", ""<arith_expr>""), Constant(""start"", ""<start>""), ExistsFormula(BoundVariable(""elem"", ""<function>""), BoundVariable(""container"", ""<arith_expr>""), SMTFormula('(= elem ""tan"")', BoundVariable(""elem"", ""<function>""), )))"
8,9,16.139,1.0,1.0,20,"forall <arith_expr> container in start:
  exists <function> elem in container:
    (= elem ""tan"")","ForallFormula(BoundVariable(""container"", ""<arith_expr>""), Constant(""start"", ""<start>""), ExistsFormula(BoundVariable(""elem"", ""<function>""), BoundVariable(""container"", ""<arith_expr>""), SMTFormula('(= elem ""tan"")', BoundVariable(""elem"", ""<function>""), )))"
9,10,25.367,1.0,1.0,20,"forall <arith_expr> container in start:
  exists <function> elem in container:
    (= elem ""tan"")","ForallFormula(BoundVariable(""container"", ""<arith_expr>""), Constant(""start"", ""<start>""), ExistsFormula(BoundVariable(""elem"", ""<function>""), BoundVariable(""container"", ""<arith_expr>""), SMTFormula('(= elem ""tan"")', BoundVariable(""elem"", ""<function>""), )))"
