,Runtime,Precision,Recall,Constraint
0,0.088,-1,-1,Avicenna requires at least one failure-inducing input!
1,0.067,-1,-1,Avicenna requires at least one failure-inducing input!
2,0.057,-1,-1,Avicenna requires at least one failure-inducing input!
3,0.059,-1,-1,Avicenna requires at least one failure-inducing input!
4,0.058,-1,-1,Avicenna requires at least one failure-inducing input!
5,0.056,-1,-1,Avicenna requires at least one failure-inducing input!
6,0.057,-1,-1,Avicenna requires at least one failure-inducing input!
7,0.056,-1,-1,Avicenna requires at least one failure-inducing input!
8,0.057,-1,-1,Avicenna requires at least one failure-inducing input!
9,0.056,-1,-1,Avicenna requires at least one failure-inducing input!
