,Runtime,Precision,Recall,Constraint
0,0.057,-1,-1,Avicenna requires at least one failure-inducing input!
1,0.055,-1,-1,Avicenna requires at least one failure-inducing input!
2,0.056,-1,-1,Avicenna requires at least one failure-inducing input!
3,0.056,-1,-1,Avicenna requires at least one failure-inducing input!
4,0.056,-1,-1,Avicenna requires at least one failure-inducing input!
5,0.055,-1,-1,Avicenna requires at least one failure-inducing input!
6,0.055,-1,-1,Avicenna requires at least one failure-inducing input!
7,0.139,-1,-1,Avicenna requires at least one failure-inducing input!
8,0.056,-1,-1,Avicenna requires at least one failure-inducing input!
9,0.057,-1,-1,Avicenna requires at least one failure-inducing input!
