,Runtime,Precision,Recall,Constraint
0,0.059,-1,-1,Avicenna requires at least one failure-inducing input!
1,0.056,-1,-1,Avicenna requires at least one failure-inducing input!
2,0.055,-1,-1,Avicenna requires at least one failure-inducing input!
3,0.055,-1,-1,Avicenna requires at least one failure-inducing input!
4,0.055,-1,-1,Avicenna requires at least one failure-inducing input!
5,0.055,-1,-1,Avicenna requires at least one failure-inducing input!
6,0.054,-1,-1,Avicenna requires at least one failure-inducing input!
7,0.054,-1,-1,Avicenna requires at least one failure-inducing input!
8,0.055,-1,-1,Avicenna requires at least one failure-inducing input!
9,0.056,-1,-1,Avicenna requires at least one failure-inducing input!
