,Attempt,Runtime,Precision,Recall,Line,Constraint,Readable_Constraint
0,1,25.723,1.0,1.0,28,"forall <arith_expr> container in start:
  exists <function> elem in container:
    (= elem ""sin"")","ForallFormula(BoundVariable(""container"", ""<arith_expr>""), Constant(""start"", ""<start>""), ExistsFormula(BoundVariable(""elem"", ""<function>""), BoundVariable(""container"", ""<arith_expr>""), SMTFormula('(= elem ""sin"")', BoundVariable(""elem"", ""<function>""), )))"
1,2,22.958,1.0,1.0,28,"forall <arith_expr> container in start:
  exists <function> elem in container:
    (= elem ""sin"")","ForallFormula(BoundVariable(""container"", ""<arith_expr>""), Constant(""start"", ""<start>""), ExistsFormula(BoundVariable(""elem"", ""<function>""), BoundVariable(""container"", ""<arith_expr>""), SMTFormula('(= elem ""sin"")', BoundVariable(""elem"", ""<function>""), )))"
2,3,31.059,1.0,1.0,28,"forall <arith_expr> container in start:
  exists <function> elem in container:
    (= elem ""sin"")","ForallFormula(BoundVariable(""container"", ""<arith_expr>""), Constant(""start"", ""<start>""), ExistsFormula(BoundVariable(""elem"", ""<function>""), BoundVariable(""container"", ""<arith_expr>""), SMTFormula('(= elem ""sin"")', BoundVariable(""elem"", ""<function>""), )))"
3,4,23.957,1.0,1.0,28,"forall <arith_expr> container in start:
  exists <function> elem in container:
    (= elem ""sin"")","ForallFormula(BoundVariable(""container"", ""<arith_expr>""), Constant(""start"", ""<start>""), ExistsFormula(BoundVariable(""elem"", ""<function>""), BoundVariable(""container"", ""<arith_expr>""), SMTFormula('(= elem ""sin"")', BoundVariable(""elem"", ""<function>""), )))"
4,5,30.556,1.0,1.0,28,"forall <arith_expr> container in start:
  exists <function> elem in container:
    (= elem ""sin"")","ForallFormula(BoundVariable(""container"", ""<arith_expr>""), Constant(""start"", ""<start>""), ExistsFormula(BoundVariable(""elem"", ""<function>""), BoundVariable(""container"", ""<arith_expr>""), SMTFormula('(= elem ""sin"")', BoundVariable(""elem"", ""<function>""), )))"
5,6,32.39,1.0,1.0,28,"forall <arith_expr> container in start:
  exists <function> elem in container:
    (= elem ""sin"")","ForallFormula(BoundVariable(""container"", ""<arith_expr>""), Constant(""start"", ""<start>""), ExistsFormula(BoundVariable(""elem"", ""<function>""), BoundVariable(""container"", ""<arith_expr>""), SMTFormula('(= elem ""sin"")', BoundVariable(""elem"", ""<function>""), )))"
6,7,27.037,1.0,1.0,28,"forall <arith_expr> container in start:
  exists <function> elem in container:
    (= elem ""sin"")","ForallFormula(BoundVariable(""container"", ""<arith_expr>""), Constant(""start"", ""<start>""), ExistsFormula(BoundVariable(""elem"", ""<function>""), BoundVariable(""container"", ""<arith_expr>""), SMTFormula('(= elem ""sin"")', BoundVariable(""elem"", ""<function>""), )))"
7,8,23.514,1.0,1.0,28,"forall <arith_expr> container in start:
  exists <function> elem in container:
    (= elem ""sin"")","ForallFormula(BoundVariable(""container"", ""<arith_expr>""), Constant(""start"", ""<start>""), ExistsFormula(BoundVariable(""elem"", ""<function>""), BoundVariable(""container"", ""<arith_expr>""), SMTFormula('(= elem ""sin"")', BoundVariable(""elem"", ""<function>""), )))"
8,9,31.141,1.0,1.0,28,"forall <arith_expr> container in start:
  exists <function> elem in container:
    (= elem ""sin"")","ForallFormula(BoundVariable(""container"", ""<arith_expr>""), Constant(""start"", ""<start>""), ExistsFormula(BoundVariable(""elem"", ""<function>""), BoundVariable(""container"", ""<arith_expr>""), SMTFormula('(= elem ""sin"")', BoundVariable(""elem"", ""<function>""), )))"
9,10,18.38,1.0,1.0,28,"forall <arith_expr> container in start:
  exists <function> elem in container:
    (= elem ""sin"")","ForallFormula(BoundVariable(""container"", ""<arith_expr>""), Constant(""start"", ""<start>""), ExistsFormula(BoundVariable(""elem"", ""<function>""), BoundVariable(""container"", ""<arith_expr>""), SMTFormula('(= elem ""sin"")', BoundVariable(""elem"", ""<function>""), )))"
